nonprofit_id,adjustment_dollars
3,6919.65
4,157.76
5,8532.03
6,255.25
7,635.62
9,774.60
10,1353.76
11,363.29
12,222.48
13,71.57
14,99.38
16,2003.79
18,266.34
19,7.24
21,1832.23
22,2971.14
24,1629.62
25,17.88
26,1494.32
27,3206.55
29,701.46
31,572.91
32,1627.62
33,62.56
34,128.68
35,666.88
37,8868.70
40,388.61
41,444.32
42,45.38
43,38.25
44,2361.50
45,7.00
46,612.20
47,941.92
48,64.38
49,134.26
50,835.08
51,33.37
55,120.54
56,2297.44
57,389.98
59,921.46
60,389.73
62,10.37
63,279.64
64,34.89
66,122.50
68,6.30
69,1864.57
71,265.49
73,1224.10
74,484.21
76,176.38
77,206.26
83,41.75
86,33.00
88,158.38
89,239.14
90,839.00
91,432.38
93,721.09
94,411.14
95,564.01
98,88.77
99,314.37
100,506.01
101,852.45
102,300.54
103,60.32
104,65.95
105,66.50
106,165.69
107,103.25
108,51.50
109,231.29
110,0.50
112,37.06
113,563.90
116,377.11
117,156.95
120,743.73
121,29.00
123,124.66
124,34.50
125,1816.83
126,91.50
127,108.37
128,103.59
130,1990.88
132,173.85
133,177.43
134,39.76
135,242.89
136,514.43
137,17.00
139,183.38
141,1411.37
142,333.68
143,708.59
144,713.15
145,113.16
147,430.16
148,173.75
150,120.38
151,42.25
152,5.50
153,116.00
154,0.50
155,83.25
156,16.82
157,124.50
159,74.13
161,4.50
162,5.00
163,193.44
164,4230.05
165,5.50
166,64.90
167,171.83
169,1632.97
170,434.99
172,8.25
173,23.50
175,299.01
176,13.25
177,14.00
180,1085.02
181,4702.73
182,217.78
184,537.97
185,2211.17
186,62.50
187,54.98
188,365.53
189,52.14
190,0.50
191,3547.36
192,58.06
193,287.11
194,23.25
195,252.04
196,46.50
197,65.34
198,31.09
199,0.25
200,214.00
201,421.25
203,42.50
204,79.75
205,56.52
206,397.88
207,80.49
210,168.80
211,3.88
212,16.90
213,226.97
214,10.50
216,88.75
217,464.95
220,51.50
221,1055.85
222,1.75
224,67.66
225,363.12
226,23.00
227,431.29
228,6.25
229,676.84
230,19.75
231,13.52
232,981.28
234,1240.71
235,78.65
236,92.00
237,170.64
238,127.16
239,0.50
240,439.66
241,170.00
242,147.13
243,2207.16
244,286.98
246,5.25
247,70.25
248,5.25
249,39.88
250,238.13
251,496.95
253,407.53
255,930.59
257,81.38
258,449.26
259,18.00
260,13.53
262,181.84
263,41.50
264,7.00
265,943.86
266,987.89
267,73.27
268,181.29
269,420.75
270,30.75
271,124.56
272,175.31
273,235.75
274,344.40
276,59.75
277,34.19
278,34.75
279,33.50
280,605.19
281,552.61
282,223.75
283,806.02
284,37.13
286,922.96
289,224.58
290,1758.38
292,270.82
293,190.03
294,1.50
296,1104.39
301,50.25
302,10.50
303,2.00
304,198.17
306,19.31
307,397.83
310,126.91
311,25.00
312,100.61
313,373.09
314,714.22
315,55.25
316,94.56
317,50.00
319,1320.18
320,443.65
321,120.56
322,227.40
323,651.88
324,1628.98
325,25.92
326,41.50
327,129.06
329,52.31
330,213.81
332,209.21
333,59.75
334,219.39
335,173.29
336,4587.32
337,788.28
338,1452.17
339,8.75
341,29.88
343,433.05
344,83.75
345,25.90
346,102.51
347,130.52
349,1461.59
351,276.26
352,1037.00
353,139.78
354,329.24
355,452.90
356,0.50
357,291.88
359,185.27
360,108.76
361,29.39
362,214.00
363,379.92
364,1542.31
367,93.52
368,22.50
369,2063.17
370,182.34
372,54.01
373,163.01
375,56.27
377,78.47
378,11.80
379,7.00
380,10.50
386,104.96
387,7.50
389,22.25
390,100.65
391,629.85
395,13.58
396,16.13
398,0.50
404,23.50
405,65.77
406,27.47
408,35.84
409,67.00
412,83.81
413,273.13
414,427.87
415,95.25
417,342.07
418,46.25
420,47.25
422,32.19
423,271.40
426,403.90
427,19.56
428,29.25
429,96.08
430,344.41
431,6.00
436,12.50
441,66.26
444,631.90
448,20.00
452,35.00
453,62.00
454,11.75
463,246.00
